term,pos,comment,is_case_sensitive,en,comment_en
བརྗེད་བྱེད,,term-apasmāra,yes,Apasmāra,A demon that causes epilepsy.
བརྗེད་བྱེད,,term-apasmāra,yes,Apasmāra,A class of nonhuman beings believed to be responsible for epilepsy.
བརྗེད་བྱེད,,term-apasmāra,yes,Apasmāra,A class of spirits causing memory loss.
བརྗེད་བྱེད,,person-Apasmāra,yes,Apasmāra,
བརྗེད་བྱེད,,term-apasmāra,yes,Apasmāra,
བརྗེད་ མེད་ ང་རོ,,person-—,yes,Roar without Forgetfulness,A great bodhisattva.
བརྗོད་ དུ་ མེད་པ,,term-a­pra­vyāhāra,yes,Inexpressible,
བརྗོད་ དུ་ མེད་པ་ -ར་ འཕགས་པ,,person-Anabhilāpyodgata,yes,Anabhilāpyodgata,One of the future buddhas of this kalpa.
བརྗོད་ དུ་ མེད,,term-anabhilāpya,yes,Inexpressible,
བརྗོད་པ་ དོན་ཡོད,,person-—,yes,Meaningful Expression,A buddha.
བརྗོད་པ་ བཟང་པོ,,term-—,yes,Excellent speech,
བརྗོད་ སྐྱོབ,,person-—,yes,Guardian of Speech,A goddess.
བརྟན་པ་ དམ་པ་ -འི་ ཡེ་ཤེས,,person-Sattvottara­jñānin,yes,Sattvottara­jñānin,A bodhisattva present in Śrāvastī.
བརྟན་པ,,term-—,yes,Stable,A monk who has been ordained at least five or ten years without incurring an offense is considered stable.
བརྟན་པ,,person-Karkaṭaka,yes,Karkaṭaka,A lay brother living in Nādikā.
བརྟན་པ,,person-*Acala,yes,Acala,King at the second level of the asuras.
བརྟན་པ,,person-—,yes,Firm,An asura king.
བརྟན་པ,,person-—,yes,Steadfast One,A previous ruler of the Heaven of the Thirty-Three.
བརྟན་པ,,place-Sthirā,yes,Sthirā,A capital city in South India.
བརྟན་པ,,person-Dhruva,yes,Dhruva,One of the grahas.
བརྟན་པ་ -འི་ བློ་གྲོས་ གཞོན་ནུ་ -ར་ གྱུར་བ,,person-Dṛḍhamati­kumāra­bhūta,yes,Dṛḍhamati­kumāra­bhūta,Another name for the great bodhisattva Dṛḍhamati.
བརྟན་པ་ -འི་ བློ་གྲོས,,person-Dṛḍhamati,yes,Dṛḍhamati,"A great bodhisattva and interlocutor in several long passages of this sūtra. Also called as Dṛḍhamati­kumāra­bhūta. Dṛḍhamati is the main interlocutor in the Śūraṃgamasamādhisūtra, Toh 132."
བརྟན་པ་ -འི་ བློ་གྲོས,,person-Sthiramati,yes,Sthiramati,A bodhisattva.
བརྟན་པ་ -འི་ སྡེ,,person-Dhṛtisena,yes,Dhṛtisena,A great bodhisattva and householder.
བརྟན་པ་ -ར་ འགྱུར་བ,,term-—,yes,Becoming firm,The name of a karmic wind involved in the formation of an embryo in its eighteenth week.
བརྟན་པ་ -ས་ བྱིན,,person-Dṛdhadatta,yes,Dṛdhadatta,A king in the distant past.
བརྟན་པོ,,place-Dṛḍha,yes,Dṛḍha,A buddha realm.
བརྟན་མ,,person-Sthāvarā,yes,Sthāvarā,An earth goddess at the bodhimaṇḍa.
བརྟན་མ,,person-Sthāvarā,yes,Sthāvarā,
བརྟན་ མཁས་ ཀྱི་ ཡོན་ཏན,,term-—,yes,Qualities of stability and skill,"To accept charge of monk apprentices and monk journeymen, a monk must himself be both stable, meaning he has been ordained at least five or ten years without incurring an offense, and knowledgeable, meaning he has at least one of the twenty-one sets of five qualities described in “The Chapter on Going Forth.”"
བརྟན་ལྡན,,place-Dhṛtivati,yes,Dhṛtivati,A town.
བརྟན,,person-Dhruva,yes,Dhruva,The king identified with Dhruvasena II of the Maitraka dynasty.
བརྟུལ་ཞུགས་ དཀྱིལ་འཁོར,,person-Vratamaṇḍala,yes,Vratamaṇḍala,The forty-fifth buddha in a kalpa in the distant past.
བརྟུལ་ཞུགས་ བཟང་པོ,,person-Suvrata,yes,Suvrata,A great bodhisattva.
བརྟུལ་ཞུགས་ བཟང་པོ,,person-Suvrata,yes,Suvrata,A head merchant’s son in Dhanyākara.
བརྟུལ་ཞུགས་ བཟང་པོ,,person-Suvrata,yes,Suvrata,One of the tathāgatas attending the delivery of the MMK; one of the kings of the Nāgasena dynasty.
བརྟུལ་ཞུགས་ ཡོངས་སུ་ དག་པ,,person-Vratapariśuddha,yes,Vratapariśuddha,Eldest son of the universal monarch Nimiṃdhara.
བརྟུལ་ཞུགས་ རྒྱ་མཚོ,,person-Vratasamudra,yes,Vratasamudra,A buddha in the distant past.
བརྟུལ་ཞུགས་ ལེགས་སྤྱད,,person-Sucīrṇa,yes,Sucīrṇa,One of the pratyeka­buddhas attending the delivery of the MMK.
བརྟུལ་ཞུགས་ སྤྱད,,person-Cīrṇavrata,yes,Cīrṇavrata,A buddha.
བརྟུལ་ཞུགས,,term-vrata,yes,Disciplined conduct,
བརྟོན་ འགྲུས་ བརྟན་པ,,person-Dṛḍhavīrya,yes,Dṛḍhavīrya,
བརྡ་ དང་ སྒྲ་ ལ་ འཇུག་པ,,term-saṃ­keta­ruta­praveśa,yes,Entrance to Symbols and Sounds,Name of the eighty-seventh meditative stability.
བརྣག་པ,,term-saṃ­kalpa,yes,Good intention,
བརྩེ་བ,,person-Kṛpā,yes,Kṛpā,One of the vidyārājñīs attending the delivery of the MMK.
བརྩེགས་པ་ རྒྱུ་བ,,place-—,yes,Living on the Peak,One of the twenty-seven realms of the Heaven Free from Strife.
བརྩེགས་པ་ -འི་ མཚན,,person-Kūṭākhya,yes,Kūṭākhya,One of the pratyeka­buddhas attending the delivery of the MMK.
བརྩེགས་ མིག,,person-Kūtākṣa,yes,Kūtākṣa,Name of a yakṣa.
བརྩེགས་ སྐྱོང,,place-Pālitakūṭa,yes,Pālitakūṭa,A village. See also note https://read.84000.co/translation/UT22084-001-006.html#UT22084-001-006-2552
བརྩོན་ གྲུས་ དཔེ་མེད,,person-—,yes,Peerless Diligence,A buddha.
བརྩོན་ གྲུས་ བརྩམས,,person-Ārabdhavīrya,yes,Ārabdhavīrya,A bodhisattva.
བརྩོན་ གྲུས་ མཐའ་ ཡས,,person-Anantavīrya,yes,Anantavīrya,A buddha.
བརྩོན་པ་ མཐའ་ ཡས,,person-—,yes,Infinite Endeavor,A buddha.
བརྩོན་པ་ མི་ གཏོང,,person-Anikṣiptadhura,yes,Anikṣiptadhura,A great bodhisattva.
བརྩོན་པ་ མི་ གཏོང་བ,,person-Anikṣiptadhura,yes,Anikṣiptadhura,Name of a bodhisattva.
བརྩོན་པ་ མི་ གཏོང་བ,,person-Anikṣiptadhura,yes,Anikṣiptadhura,A bodhisattva present at the sūtra’s teaching.
བརྩོན་པ་ མི་ གཏོང་བ,,person-Anikṣiptadhura,yes,Anikṣiptadhura,
བརྩོན་པ་ མི་ གཏོང་བ,,person-Anikṣiptadhura,yes,Anikṣiptadhura,One of the bodhisattvas attending this teaching.
བརྩོན་པ་ མི་ འདོར་བ,,person-Anikṣiptadhura,yes,Anikṣiptadhura,
བརྩོན་པ་ -འི་ ཁྱུ་མཆོག,,person-Kātyarṣabha,yes,Kātyarṣabha,A lay brother living in Nādikā.
བརྩོན་པ་ -འི་ མི་ འདོར,,person-Anikṣiptadhura,yes,Anikṣiptadhura,Name of a bodhisattva.
བརྩོན་འགྲུས་ ཀྱི་ ཏིང་ངེ་འཛིན་ སྤང་བ་ -འི་ འདུ་བྱེད་ དང་ ལྡན་པ་ -འི་ རྫུ་འཕྲུལ་ གྱི་ རྐང་པ,,term-vīrya­samādhi­prahāṇa­saṃskāra­samanvāgata­ṛddhi­pāda,yes,Support for miraculous ability combining meditative stability of perseverance with the formative force of exertion,Second of the four supports for miraculous abilities.
བརྩོན་འགྲུས་ ཀྱི་ ཕ་རོལ་ ཏུ་ ཕྱིན་པ,,term-vīrya­pāramitā,yes,Transcendent perfection of perseverance,Fourth of the six transcendent perfections.
བརྩོན་འགྲུས་ ཀྱི་ ཤུགས་ ཐུབ་པ་ -ར་ དཀའ་བ་ -འི་ རྒྱལ་པོ,,person-Duryodhana­vīrya­vega­rāja,yes,Duryodhana­vīrya­vega­rāja,A bodhisattva from a southern realm.
བརྩོན་འགྲུས་ ཀྱི་ སྒྲོན་མ་ ཀུན་ ཏུ་ སྣང་བ་ -འི་ སྤྲིན,,person-Samanta­vīryolkāvabhāsa­megha,yes,Samanta­vīryolkāvabhāsa­megha,One of countless buddhas in a past kalpa.
བརྩོན་འགྲུས་ ཀྱི་ སྟོབས,,term-vīrya­bala,yes,Power of Perseverance,Both the name of the fourteenth meditative stability and the second of the five powers.
བརྩོན་འགྲུས་ གོང་ ན་ མེད,,person-—,yes,Unsurpassed Diligence,A bodhisattva in the retinue of the Buddha Śākyamuni.
བརྩོན་འགྲུས་ གྲངས་མེད་པ་ ལ་ ཞུགས་པ་ -འི་ དཔལ,,person-—,yes,Glory of Being Immersed in Incalculable Effort,Name of the thus-gone one of the world system Awakening of Beautiful Thought.
བརྩོན་འགྲུས་ གྲངས་མེད་པ་ ལ་ རབ་ཏུ་ ཞུགས་པ་ -འི་ དཔལ,,person-Asaṃkhyeya­vīrya­susaṃprasthita­śrī,yes,Asaṃkhyeya­vīrya­susaṃprasthita­śrī,
བརྩོན་འགྲུས་ གྲངས་མེད་པ་ -ས་ ཡང་དག་པ་ -ར་ རབ་ཏུ་ གནས་པ,,person-—,yes,Stable in Immeasurable Diligence,A buddha who lives in a buddha realm above this world.
བརྩོན་འགྲུས་ ཆེན་པོ་ -ས་ རྣམ་པ་ -ར་ གནོན,,person-—,yes,Great Diligence Hero,A bodhisattva.
བརྩོན་འགྲུས་ དཔག་ ཏུ་ མེད་པ་ -འི་ འོད་ཟེར་ ཡོན་ཏན་ རྣམ་པ་ -ར་ རྒྱལ་བ་ -འི་ རྒྱལ་པོ,,person-—,yes,Victorious King of the Qualities of Boundless Luminous Diligence,A future buddha.
བརྩོན་འགྲུས་ དཔེ་མེད་ བློ་གྲོས,,person-—,yes,Perseverant Beyond Compare and Wise,The name of a bodhisattva in the Buddha’s audience.
བརྩོན་འགྲུས་ བརྟན,,person-Dṛḍhavīrya,yes,Dṛḍhavīrya,One of the bodhisattva great beings.
བརྩོན་འགྲུས་ བློ་གྲོས,,person-—,yes,Diligent Intelligence,A bodhisattva in the retinue of the Buddha Śākyamuni.
བརྩོན་འགྲུས་ མ་ ཉམས་པ,,person-Nihata­dhīra,yes,Nihata­dhīra,One of the future buddhas of this kalpa.
བརྩོན་འགྲུས་ མངོན་དུ་ འཕགས་པ་ -འི་ རྒྱལ་པོ,,person-—,yes,King of Superior Diligence,A buddha.
བརྩོན་འགྲུས་ མཐའ་ ཡས,,person-Anantavīrya,yes,Anantavīrya,A buddha.
བརྩོན་འགྲུས་ མཐའ་ ཡས,,person-Anaṃtavīrya,yes,Anaṃtavīrya,Name of a tathāgata.
བརྩོན་འགྲུས་ མཐའ་ -ས་ ཡས,,person-Anantavīrya,yes,Anantavīrya,A great bodhisattva.
བརྩོན་འགྲུས་ འབར་བ,,person-Dīptavīrya,yes,Dīptavīrya,A bodhisattva in the retinue of the Buddha Śākyamuni.
བརྩོན་འགྲུས་ འབར་བ,,person-Dīptavīrya,yes,Dīptavīrya,A buddha in a world called Astounding Sight and an eon in the past called Flower Origin.
བརྩོན་འགྲུས་ འབར་བ,,person-Uttaptavīrya,yes,Uttaptavīrya,Name of a bodhisattva.
བརྩོན་འགྲུས་ འབར,,person-Uttaptavīrya,yes,Uttaptavīrya,One of the Buddha’s former rebirths.
བརྩོན་འགྲུས་ འབར,,person-Dīptavīrya,yes,Dīptavīrya,
བརྩོན་འགྲུས་ རྟག་པ་ -ར་ སྦྱོར,,person-Nityodyukta,yes,Nityodyukta,
བརྩོན་འགྲུས་ ལྡན,,person-Vīryavān,yes,Vīryavanta,"“Diligent,” the diligent one; Prince Puṇyabala’s brother who exemplifies diligence."
བརྩོན་འགྲུས་ སྐྱེས་པ,,place-—,yes,Source of Diligence,Name of the world system of the thus-gone one Accomplisher of All Goals.
བརྩོན་འགྲུས་ སྐྱོ་མེད,,person-—,yes,Untiring Diligence,A great bodhisattva.
བརྩོན་འགྲུས,,term-viryā,yes,Diligence,Also translated here as “vigor.”
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,The fourth of the six perfections and second of the five powers.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,The fourth of the six perfections.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,One of the six perfections.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,One of the six or ten perfections.
བརྩོན་འགྲུས,,person-Vīrya,yes,Vīrya,The name of a bodhisattva. “Effort.”
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,The fourth of the six perfections.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,A state of mind characterized by joyful persistence when engaging in virtuous activity.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,Diligence or perseverance. One of the six perfections of the bodhisattva.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,Also “perseverance.” One of the six perfections of the bodhisattva.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,One of the seven limbs of enlightenment.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,"Enthusiasm for virtue. One of the six perfections, the seven limbs of awakening, the five abilities, the four bases of magical power, and the five powers."
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,"Fourth of the six perfections and one of the seven limbs of awakening, the five abilities, the four bases of magical power, and the five powers."
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,A state of mind characterized by joyful persistence when engaging in virtuous activity.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,"The fourth of the six perfections, it is also among the seven branches of enlightenment, the five abilities, the four bases of magical power, and the five powers. Also translated here as “effort.”"
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,One of the six perfections. Perseverance and enthusiasm for virtue.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,One of the six perfections. Perseverance and enthusiasm for virtue.
བརྩོན་འགྲུས,,term-vīrya,yes,Diligence,
བལ་པོ,,place-Nepāla,yes,Nepāla,"Although the name “Nepal” derives from it, the ancient Nepāla would probably not extend beyond the Kathmandu Valley."
བལ་ཡུལ,,place-None,yes,Nepal,
བལྟ་ ན་ སྡུག,,place-Sudarśana,yes,Sudarśana,A buddha realm.
བལྟ་ ན་ སྡུག,,person-Sudarśana,yes,Sudarśana,A buddha in the past.
བལྟ་ ན་ སྡུག,,place-Sudarśana,yes,Sudarśana,(1) One of the seven golden mountains. (2) The city of the Thirty-Three Gods.
བལྟ་ ན་ སྡུག,,place-—,yes,Excellent View,A city in the realm Dwelling in Excellent View.
བལྟ་ ན་ སྡུག,,person-*Sudarśana,yes,Beautiful to See,Peacock who overheard the Buddha teaching on Vulture Peak Mountain.
བལྟ་ ན་ སྡུག,,person-*Sudarśana,yes,Sudarśana (son of Dhanika),"Son of the householder Dhanika in Rājagṛha during the time of Buddha Śākyamuni. After he and his parents heard the Dharma from the Buddha, he went forth and manifested arhatship. Also the name of a future buddha, see “Sudarśana.”"
བལྟ་ ན་ སྡུག,,person-Sudarśana,yes,Sudarśana (son of Dhanika),"Son of the householder Dhanika in Rājagṛha during the time of Buddha Śākyamuni. After he and his parents heard the Dharma from the Buddha, he went forth and manifested arhatship. Also the name of a future buddha, see “Sudarśana.”"
བལྟ་ ན་ སྡུག,,place-Darśanīya,yes,Darśanīya,A divine city filled with crowds of gods.
བལྟ་ -ར་ མི་ མཐོང,,person-—,yes,Not Seen when Viewed,
བཤུགས་པ་ མ,,person-Hiṇḍinī,yes,Hiṇḍinī,One of the great dūtīs attending upon Lord Vajrapāṇi; a vidyā attendant upon Mañjuśrī; one of the great yakṣiṇīs.
བཤེས་གཉེན་ འཕེལ,,person-—,yes,Growing Friend,A great bodhisattva.
བཤེས་གཉེན་ ལྷ,,person-—,yes,Divine Friend,A great bodhisattva.
བཤེས་གཉེན་ སྒྲགས་པ,,person-—,yes,Renowned Friend,A buddha.
བཤེས་གཉེན,,person-Mitra,yes,Mitra,A great bodhisattva.
བཤེས་ ལྡན,,person-Bandhumat,yes,Bandhumat,A king of Bandhumatī in the past.
བསམ་གཏན་ གཉིས་པ,,term-dvitīyadhyāna,yes,Second concentration,See “four meditative states.”
བསམ་གཏན་ གསུམ་པ,,term-tṛtīyadhyāna,yes,Third concentration,See “four meditative states.”
བསམ་གཏན་ གྱི་ ཕ་རོལ་ ཏུ་ ཕྱིན་པ,,term-dhyāna­pāramitā,yes,Transcendent perfection of meditative concentration,Fifth of the six transcendent perfections.
བསམ་གཏན་ དང་པོ,,term-prathamadhyāna,yes,First concentration,See “four meditative states.”
བསམ་གཏན་ བཞི་པ,,term-caturthadhyāna,yes,Fourth concentration,See “four meditative states.”
བསམ་གཏན་ བཞི,,term-caturdhyāna,yes,Four states of concentration,The four levels of meditative absorption of form realm beings.
བསམ་གཏན་ བཞི,,term-caturdhyāna,yes,Four concentrations,"The four progressive levels of concentration of the form realm that culminate in pure one-pointness of mind, and are a requirement for cultivation of the five or six superknowledges, and so on. These are part of the nine gradual attainments."
བསམ་གཏན་ བྱེད་པ,,term-dhyāyati,yes,Practicing concentration,Also translated as “concentrating.”
བསམ་གཏན་ བླ་མ,,person-—,yes,Unsurpassed Concentration,A monk.
བསམ་གཏན་ འགྲོ,,person-Dhyānaga,yes,Dhyānaga,One of the rāśis.
བསམ་གཏན་ སྒྲ་ -འི་ བྱ་བ་ -ས་ དབེན་པ,,place-—,yes,Devoid of the Sound of Concentration,One of the twenty-seven realms in the Heaven Free from Strife.
བསམ་གཏན་ སྤྱོད་ཡུལ,,person-—,yes,Concentrated Experience,A monk.
བསམ་གཏན,,term-dhyāna,yes,Concentration,One-pointed mental stability.
བསམ་གཏན,,term-dhyāna,yes,Meditative concentration,"Meditative concentration is defined as the one-pointed abiding in an undistracted state of mind free from afflicted mental states. It is an advanced form of calm abiding, where often both calm abiding and penetrative insight may be present in perfect union. Four states of meditative concentration are identified as being conducive to birth within the world system of form, each of which has three phases of intensity. However, in the context‌ of the Great Vehicle, meditative concentration is the fifth of the six transcendent perfections. See also “four meditative concentrations” and note https://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-170."
བསམ་གཏན,,term-dhyāna,yes,Concentration,The fifth of the six perfections.
བསམ་གཏན,,term-dhyāna,yes,Concentration,Meditative concentration. Fifth of the six perfections.
བསམ་གཏན,,term-dhyāna,yes,Concentration,One of the six perfections.
བསམ་གཏན,,term-dhyāna,yes,Concentration,
བསམ་གཏན,,term-dhyāna,yes,Concentration,One of the six or ten perfections.
བསམ་གཏན,,term-dhyāna,yes,Concentration,"One of the terms for meditation, referring specifically to states of mental stability or one-pointed focus in an undistracted state of mind free from mental obscurations. Dhyāna can also refer to the specific states of meditative fixation of the form and formless realms (eight in total). It is also the fifth of the six perfections of the bodhisattva."
བསམ་གཏན,,term-dhyāna,yes,Concentration,The fifth of the six perfections.
བསམ་གཏན,,term-dhyāna,yes,Concentration,"Generally one of the synonyms for meditation, referring to a state of mental stability. The specific four concentrations are four successively subtler states of meditation that are said to lead to rebirth into the corresponding four levels of the form realm. One of the six perfections."
བསམ་གཏན,,term-dhyāna,yes,Meditative concentration,One of several common terms that are used to describe meditative states. The four meditative concentrations are the four concentrations of the form realm.
བསམ་གཏན,,term-dhyāna,yes,Concentration,
བསམ་གཏན,,term-dhyāna,yes,Concentration,"Meditative concentration is defined as one-pointed abiding in an undistracted state of mind, free from afflicted mental states. Four states of meditative concentration are identified as being conducive to birth within the world system of form, each of which has three phases of intensity. In the context of the Mahāyāna, meditative concentration is the fifth of the six transcendent perfections."
བསམ་གཏན,,term-dhyāna,yes,Meditative concentration,The fifth of the six perfections (Skt. pāramitā).
བསམ་གཏན,,term-dhyāna,yes,Concentration,Meditative concentration in which the mind achieves stable attention or one-pointed focus.
བསམ་གཏན,,term-dhyāna,yes,Concentration,
བསམ་གཏན,,term-dhyāna,yes,Mental stability,One-pointed concentration in which the mind is undistracted and untainted by the afflictions.
བསམ་ གྱིས་ མི་ ཁྱབ་པ,,person-Acintya,yes,Acintya,
བསམ་ གྱིས་ མི་ ཁྱབ་པ་ -འི་ དཔལ,,person-Acintya­śrī,yes,Acintya­śrī,One of the future buddhas of this kalpa.
བསམ་ གྱིས་ མི་ ཁྱབ་པ་ -འི་ དབྱིངས,,term-a­cintya­dhātu,yes,Inconceivable expanse,
བསམ་ གྱིས་ མི་ ཁྱབ་པ་ -འི་ དོན་ གྱི་ སྙིང་པོ,,person-Acintyārtha­garbha,yes,Acintyārtha­garbha,One of the tathāgatas attending the delivery of the MMK.
བསམ་པ་ དགའ་ མེད,,place-Ānandanirāśa,yes,Joyless Thought,One of sixteen realms that surround the Great Howling Hell. Alternatively referred to as No Hope of Joy (kun dga’ la re ba med pa) in the Tibetan text.
བསམ་པ་ ཕུན་སུམ་ ཚོགས་པ,,term-—,yes,Perfected intention,
བསམ་པ་ ཕུན་སུམ་ ཚོགས་པ་ -འི་ བྱང་ཆུབ་ སེམས་དཔའ་ རྣམ་པ་ -ར་ གཞག་པ,,term-—,yes,Category of the bodhisattva who has perfected intention,
བསམ་པ་ བཟང་པོ,,person-Sucinti,yes,Sucinti,A head merchant’s son in Dhanyākara.
བསམ་པ་ མ་ཡིན་པ,,person-Amanoratha,yes,Amanoratha,One of the kings of the piśācas.
བསམ་པ་ ལེགས་པ་ -ར་ རྣམ་པ་ -ར་ སེམས,,person-—,yes,Well-Intentioned Thought,A bodhisattva.
བསམ་པ་ ལེགས་པ་ -ར་ སེམས་པ,,person-—,yes,Excellent Contemplation,A bodhisattva.
བསམ་པ་ ལེགས་པ་ -ར་ སེམས,,person-—,yes,Thinker of Good Thoughts,A bodhisattva in the retinue of the Buddha Śākyamuni.
བསམ་པ,,term-āśaya,yes,Intention,
བསམ་པ,,person-Manoratha,yes,Manoratha,One of the kings of the piśācas.
བསམ་པ,,term-None,yes,Intention,
བསམ་པ་ -འི་ རྒྱལ་པོ,,person-Cintārāja,yes,Cintārāja,A bodhisattva in a southern realm.
བསམ་ བྱ་དགའ,,person-Dhyāyanandi,yes,Dhyāyanandi,One of the śrāvakas attending the delivery of the MMK.
བསམ་ བྱེད,,person-Dhyāyika,yes,Dhyāyika,One of the śrāvakas attending the delivery of the MMK.
བསམ་ འཛིན,,person-cidāla,yes,Cidāla,"One of the twelve great yakṣa generals who protect and serve those who bear, read, recite, copy, or commission a copy of the Bhaiṣajya­guru­vaiḍūrya­prabharājasūtra."
བསམ་ འཛིན,,person-Cidāla,yes,Cidāla,"One of the twelve great yakṣa generals who protect and serve those who bear, read, recite, copy, or commission a copy of the Bhaiṣajya­guru­vaiḍūrya­prabha­rāja­sūtra."
བསམ་ཡས་ བློ་གྲོས,,person-—,yes,Unimaginable Intelligence,
བསམ་ཡས,,place-—,yes,Samyé,"The first monastery established in Tibet, built between 775 and 779 ce. It was the location of the decades-long program of translating Buddhist texts."
བསམས་ འགྲོ,,place-—,yes,Fulfillment of Wishes,(1) A lake near Sudharma (bsams ’gro). (2) A lotus pool in Lateral (yid bzhin sna tshogs).
བསིལ་བ་ -འི་ ཆུ་ ནི་ རྒྱ་ -ར་ དཔག་ཚད་ དུ་ གྱུར་པ,,place-—,yes,One League of Cool Water,A river on Saṅkāśa.
བསིལ་བ་ -འི་ ཚལ,,place-Śītavana,yes,Śītavana,Name of a grove and a famous charnel ground.
བསིལ་བྱེད་ གཏོང,,term-—,yes,Moonlight face,A type of worm (srin bu) that lives in and feeds on the body.
བསིལ་བྱེད,,term-—,yes,Moonlight,A type of worm (srin bu) that lives in and feeds on the body.
བསིལ་ སྦྱིན་ མ,,person-Śītadā,yes,Śītadā,One of the subtle channels in the body.
བསོད་ནམས་ ཀྱི་ ཏོག,,person-—,yes,Crest of Merit,A bodhisattva.
བསོད་ནམས་ ཀྱི་ ཕུང་པོ་ ཐམས་ཅད་ ཀྱི་ ལུས་ཅན,,person-Sarva­puṇyopacitāṅgī,yes,Sarva­puṇyopacitāṅgī,
བསོད་ནམས་ ཀྱི་ མཚན་ ཐམ་ ཅད་ འཛིན་པ,,person-Sarva­puṇya­lakṣaṇa­dhārin,yes,Sarva­puṇya­lakṣaṇa­dhārin,
བསོད་ནམས་ ཀྱི་ ཚོགས,,term-puṇyasambhāra,yes,The accumulation of merit,"The progressive increase of virtuous karma. One of the two factors that come together in creating momentum toward a practitioner’s spiritual awakening, the other being the accumulation of wisdom."
བསོད་ནམས་ ཀྱི་ ཞིང,,term-puṇyakṣetra,yes,Field of merit,"Factors (such as Buddha, Dharma, Saṅgha, one’s parents, the sick, and the poor) which when treated with due care serve to engender merit."
བསོད་ནམས་ ཀྱི་ འོད་ཟེར,,person-Puṇyaraśmi,yes,Puṇyaraśmi,One of the Buddha’s former rebirths. The son of king Arciṣmān.
བསོད་ནམས་ ཀྱི་ འོད,,person-Puṇya­prabha,yes,Puṇya­prabha,A bhikṣu who was a pupil of Śāriputra.
བསོད་ནམས་ ཀྱི་ སྟོབས,,person-Puṇyabala,yes,Puṇyabala,"The name means “Power of Merit”; he is a leading character in a number of the Buddha’s past life stories. In The Account of the Noble Deeds of Puṇyabala, the Buddha tells of his past life as Prince Puṇyabala, whose compassionate acts of generosity demonstrated that merit is the most prized possession of human beings."
བསོད་ནམས་ ཀྱིས་ བརྒྱན,,person-—,yes,Ornamented with Merit,
བསོད་ནམས་ ཐམས་ཅད་ སྡུད་པ་ -འི་ དཔལ,,person-Sarva­puṇyākarṣaṇa­śrī,yes,Sarva­puṇyākarṣaṇa­śrī,
བསོད་ནམས་ དང་ ཡེ་ཤེས་ ཀྱི་ ཚོགས་ དཔག་ ཏུ་ མེད་པ་ -ས་ བརྟན་པ་ -ས་ བསགས་པ,,person-Aparimita­puṇya­jñāna­sambhāropastambhopacita,yes,Aparimita­puṇya­jñāna­sambhāropastambhopacita,"A bodhisattva mahāsattva present in the Buddha’s assembly. His name means, “Abundant with the Support of the Immeasurable Accumulations of Merit and Wisdom.”"
བསོད་ནམས་ དང་ ཡེ་ཤེས་ ཀྱི་ ཚོགས,,term-puṇya­jñāna­saṃbhāra,yes,Stores of merit and wisdom,"The two great stores to be accumulated by bodhisattvas: the store of merit, arising from their practice of the first three transcendences, and the store of wisdom, arising from their practice of the last two transcendences. All deeds of bodhisattvas contribute to their accumulation of these two stores, which ultimately culminate in the two bodies of the Buddha, the body of form and the ultimate body."
བསོད་ནམས་ དཔལ་ གྱི་ སྙིང་པོ,,person-Puṇya­śrī­garbha,yes,Puṇya­śrī­garbha,A bodhisattva mahāsattva.
བསོད་ནམས་ དཔལ,,person-Puṇya­ketu,yes,Puṇya­ketu,A bodhisattva present in Śrāvastī.
བསོད་ནམས་ བརྒྱ,,person-Śatapuṇya,yes,Śatapuṇya,A buddha.
བསོད་ནམས་ བརྒྱན,,person-Puṅyālaṃkāra,yes,Puṅyālaṃkāra,
བསོད་ནམས་ བློ་གྲོས,,person-Puṇyamatin,yes,Puṇyamatin,A prince in the distant past.
བསོད་ནམས་ མངོན་ བསྒྲགས,,person-—,yes,Announcing Merits,
བསོད་ནམས་ མཆོག,,person-Puṇyottama,yes,Puṇyottama,"Lit. “Supreme Merit.” A prince, son of King Vīradatta and Queen Precious."
བསོད་ནམས་ མཉམ,,person-Puṇyasama,yes,Puṇyasama,One of the Buddha’s former rebirths.
བསོད་ནམས་ འཕགས,,person-Puṇyodgata,yes,Puṇyodgata,An ancient king.
བསོད་ནམས་ འཕེལ་བ,,place-Puṇya­prasava,yes,Puṇya­prasava,"In the Sarvāstivada tradition, the second highest of the three paradises that correspond to the fourth dhyāna in the form realm."
བསོད་ནམས་ འཕེལ,,place-Puṇya­prasava,yes,Puṇya­prasava,"Eleventh god realm of form, meaning “increasing merit.”"
